state,prediction,total_vehicles,avg_price,avg_year
ab,0,926,8897.203401727862,2009.133909287257
al,0,26,10028.948076923074,2008.3846153846155
az,1,8734,11312.594690863294,2009.7351728875658
ca,1,73133,11593.501070378634,2009.6901262084148
co,1,7775,12433.373984565915,2011.378263665595
fl,1,82936,11874.205340382932,2010.1703120478442
ga,1,34747,11256.520076841167,2009.75836762886
hi,1,1237,12681.35075990299,2010.6063055780114
il,1,23476,12730.948849037313,2011.4829613222014
in,1,4325,11360.802478612717,2010.2790751445086
la,0,2189,10518.954833257194,2009.4399269072635
ma,0,6725,9587.088374721186,2006.846840148699
md,0,11156,9910.658687701685,2007.3295984223737
mi,1,15510,11973.57553965183,2010.6075435203095
mn,1,9427,11844.02092288109,2010.7740532512994
mo,1,16011,12073.114929111236,2011.0627693460747
ms,1,1851,11113.939789303082,2010.448946515397
nc,0,21844,9862.557592473911,2007.9243270463285
ne,1,4012,11297.526597706881,2009.9157527417747
nj,1,27782,12010.730974731841,2010.2208984234396
nm,0,171,9794.470994152045,2006.5906432748538
ns,1,61,10766.465737704919,2010.9180327868853
nv,1,12683,11990.026361270997,2010.043049751636
ny,1,5691,11291.323458091723,2009.3929010718678
oh,1,21567,11892.13776603143,2010.1420225344275
ok,0,72,8611.259722222223,2007.625
on,1,3442,11960.482423009873,2011.8102847181872
or,1,1155,11653.961324675327,2009.9168831168831
pa,1,53903,12409.920268259651,2010.7645585588928
pr,1,2722,12118.163644379138,2010.0172667156503
qc,1,1245,11225.592425702811,2010.9967871485944
sc,0,4251,10662.462272406492,2009.0651611385556
tn,1,20895,12469.083320411573,2011.4275185451065
tx,1,45912,11404.814717720863,2010.1572355811118
ut,0,1836,10377.550103485843,2008.8355119825708
va,0,12025,10117.934159667362,2007.720997920998
wa,1,7413,11859.281834614863,2009.7132065290705
wi,1,9851,11783.689305654247,2010.2557100801948
